codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca
5710007,DGA,dga_web,La Obra Recinto Emos,796,-33.5914,-70.4853,57.0,Rio Maipo,571.0,Rio Maipo Medio
5711003,DGA,dga_web,Pirque,659,-33.6736,-70.5869,57.0,Rio Maipo,571.0,Rio Maipo Medio
5713001,DGA,dga_web,Rio Angostura En Angostura,450,-33.9,-70.7333,57.0,Rio Maipo,571.0,Rio Maipo Medio (Despues Colorado Antes Mapocho)
5715001,DGA,dga_web,Rio Paine En Longitudinal,375,-33.8333,-70.75,57.0,Rio Maipo,571.0,Rio Maipo Medio (Despues Colorado Antes Mapocho)
5716001,DGA,dga_web,Rio Angostura En Valdivia De Paine,342,-33.8111,-70.8836,57.0,Rio Maipo,571.0,Rio Maipo Medio
5716003,DGA,dga_web,Estero Pintue En Puente Pintue,0,-33.8736,-70.8781,57.0,Rio Maipo,571.0,Rio Maipo Medio (Despues Colorado Antes Mapocho)
5716004,DGA,dga_web,Angostura En Valdivia De Paine,350,-33.8044,-70.8783,57.0,Rio Maipo,571.0,Rio Maipo Medio
5716005,DGA,dga_web,Laguna Aculeo,360,-33.8858,-70.8775,57.0,Rio Maipo,571.0,Rio Maipo Medio
5716011,DGA,dga_web,Laguna Aculeo Los Castaos,354,-33.8592,-70.9069,57.0,Rio Maipo,571.0,Rio Maipo Medio
5717002,DGA,dga_web,Rio Maipo En Isla De Maipo,0,-33.8,-70.9167,57.0,Rio Maipo,571.0,Rio Maipo Medio (Despues Colorado Antes Mapocho)
5717003,DGA,dga_web,Rio Maipo En El Rosario,345,-33.7667,-70.9167,57.0,Rio Maipo,571.0,Rio Maipo Medio (Despues Colorado Antes Mapocho)
5717005,DGA,dga_web,Rio Maipo En Naltahua,300,-33.7256,-70.9161,57.0,Rio Maipo,571.0,Rio Maipo Medio (Despues Colorado Antes Mapocho)
5717008,DGA,dga_web,El Vergel,340,-33.6958,-70.9236,57.0,Rio Maipo,571.0,Rio Maipo Medio
5720001,DGA,dga_web,Rio Molina Antes Junta San Francisco,1158,-33.3733,-70.3961,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5720003,DGA,dga_web,La Ermita Central En Bocatoma,1350,-33.3414,-70.3636,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5721001,DGA,dga_web,Estero Yerba Loca Antes Junta San Francisco,1350,-33.3414,-70.3636,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5721016,DGA,dga_web,Rio San Francisco Antes Junta Estero Yerba Loca,1550,-33.3086,-70.3572,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5721017,DGA,dga_web,Estero Yerba Loca En Piedra Carvajal,3250,-33.2214,-70.2736,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5722001,DGA,dga_web,Estero Arrayan En La Montosa,880,-33.3256,-70.4561,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5722002,DGA,dga_web,Rio Mapocho En Los Almendros,966,-33.3703,-70.4508,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5722003,DGA,dga_web,Rio Mapocho En Las Condes,0,-33.3667,-70.45,57.0,Rio Maipo,572.0,Rio Mapocho Alto (Hasta Bajo Junta E De Las Rosas)
5722004,DGA,dga_web,Rio Mapocho En Puente Nilhue,0,-33.3667,-70.45,57.0,Rio Maipo,572.0,Rio Mapocho Alto (Hasta Bajo Junta E De Las Rosas)
5722006,DGA,dga_web,Estero Arrayan En Desembocadura (Ca),870,-33.3583,-70.4828,57.0,Rio Maipo,572.0,Rio Mapocho Alto (Hasta Bajo Junta E De Las Rosas)
5723001,DGA,dga_web,La Dehesa,920,-33.3292,-70.5286,57.0,Rio Maipo,572.0,Rio Mapocho Alto
5730002,DGA,dga_web,Canal San Carlos En Principe De Gales,579,-33.4167,-70.5833,57.0,Rio Maipo,573.0,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo)
5730003,DGA,dga_web,Canal San Carlos En Desembocadura Rio Mapocho,580,-33.4125,-70.6047,57.0,Rio Maipo,573.0,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo)
5730004,DGA,dga_web,Zanjon De La Aguada En Santa Rosa,0,-33.4764,-70.6347,57.0,Rio Maipo,573.0,Rio Mapocho Bajo (Entre E De Las Rosas Y R Maipo)
