codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,pais,region
1740002,DGA,dga_web,Cerro Colorado,2510,-20.065,-69.2703,17.0,Pampa Del Tamarugal,174.0,Quebrada De Quipisca,Chile,Región de Tarapacá
1750002,DGA,dga_web,Sagasca,1822,-20.2033,-69.3397,17.0,Pampa Del Tamarugal,175.0,Quebradas Juan Morales Sagasca  Y El Tambillo,Chile,Región de Tarapacá
1750003,DGA,dga_web,Mamia,2730,-20.0756,-69.2147,17.0,Pampa Del Tamarugal,175.0,Quebradas Juan Morales Sagasca  Y El Tambillo,Chile,Región de Tarapacá
1770001,DGA,dga_web,Copaquire,3540,-20.9303,-68.8922,17.0,Pampa Del Tamarugal,177.0,Quebrada De Chacarilla,Chile,Región de Tarapacá
180005,DMC,dmc_merge,Chacalluta Arica Ap.,63,-18.3514,-70.3358,10.0,Altiplanicas,100.0,Entre Limite Peru - Bolivia Y Rio Lauca,Chile,Región de Arica y Parinacota
1820001,DGA,dga_web,Iquique,50,-20.2153,-70.1361,18.0,Costeras Tilviche-Loa,182.0,Pampas El Carmen Y De La Union,Chile,Región de Tarapacá
2000001,DGA,dga_web,Ollague,3700,-21.2233,-68.2494,20.0,Fronterizas Salar Michincha-R.Loa,200.0,Salar De Ollague,Chile,Región de Antofagasta
200006,DMC,dmc_merge,Diego Aracena Iquique Ap.,52,-20.5397,-70.1786,10.0,Altiplanicas,104.0,Entre Estero Sencata Y Rio Sacaya,Chile,Región de Tarapacá
2020001,DGA,dga_web,Cebollar,3730,-21.5311,-68.3386,20.0,Fronterizas Salar Michincha-R.Loa,202.0,Salar De Ascotan,Chile,Región de Antofagasta
2020002,DGA,dga_web,Ascotan,3970,-21.7253,-68.2756,20.0,Fronterizas Salar Michincha-R.Loa,202.0,Salar De Ascotan,Chile,Región de Antofagasta
2101001,DGA,dga_web,Rio Loa Antes Represa Lequena,3315,-21.6558,-68.6622,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2101003,DGA,dga_web,Lequena,3320,-21.6553,-68.6611,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2102005,DGA,dga_web,Quinchamale,3080,-21.9053,-68.5964,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103001,DGA,dga_web,"Rio San Pedro En Parshall N""1",3700,-21.9664,-68.3661,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103002,DGA,dga_web,"Rio San Pedro En Parshall N""2 (Bt. Chilex)",3318,-21.9425,-68.5122,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103003,DGA,dga_web,Rio San Pedro En Camino Internacional,3320,-21.9369,-68.5331,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103004,DGA,dga_web,Rio San Pedro En San Pedro,0,-21.9314,-68.5603,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103007,DGA,dga_web,San Pedro De Conchi,3217,-21.9333,-68.5364,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103008,DGA,dga_web,Parshall N 2,3318,-21.9428,-68.5175,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103009,DGA,dga_web,Ojos San Pedro,3800,-21.9706,-68.3128,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103010,DGA,dga_web,Inacaliri,4040,-22.0278,-68.0661,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103012,DGA,dga_web,Silala,4305,-22.0139,-68.0289,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2103014,DGA,dga_web,Rio Siloli Antes B.T. Fcab,4000,-22.0103,-68.0269,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104001,DGA,dga_web,Rio Loa En Conchi,3010,-21.9881,-68.6067,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104002,DGA,dga_web,Rio Loa En Salida Embalse Conchi,2950,-22.0278,-68.6208,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104003,DGA,dga_web,"Rio Loa En Alcantarilla Conchi N""2",2932,-21.9756,-68.6075,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104004,DGA,dga_web,"Rio Loa En Alcantarilla Conchi N""1",2975,-21.9739,-68.6067,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104005,DGA,dga_web,Rio Loa Antes Junta Rio Salado,2505,-22.3606,-68.65,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104007,DGA,dga_web,Conchi Viejo,3491,-21.95,-68.7239,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104008,DGA,dga_web,Conchi Embalse,3010,-22.025,-68.6242,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104009,DGA,dga_web,Conchi Muro Embalse,3000,-22.0267,-68.6208,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104010,DGA,dga_web,Chiu-Chiu,2524,-22.3378,-68.6367,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
2104013,DGA,dga_web,Rio Loa En Vado Santa Barbara (Doh),2950,-21.9719,-68.6083,21.0,Rio Loa,210.0,Rio Loa Alto (Bajo Junta Rio Salado),Chile,Región de Antofagasta
